"name","proportions","similarity"
"SBS1+SBS5","SBS1=0.13;SBS5=0.87","0.924086794655936"
"SBS5+SBS6","SBS5=0.79;SBS6=0.21","0.91202900826912"
"SBS5+SBS87","SBS5=0.8;SBS87=0.2","0.898147728919978"
"SBS5+SBS15","SBS5=0.88;SBS15=0.12","0.870098572527607"
"SBS3+SBS6","SBS3=0.72;SBS6=0.28","0.867176950762029"
"SBS6+SBS40","SBS6=0.3;SBS40=0.7","0.864468973789573"
"SBS6+SBS92","SBS6=0.34;SBS92=0.66","0.859622716844479"
"SBS1+SBS40","SBS1=0.18;SBS40=0.82","0.848166250746362"
"SBS1+SBS3","SBS1=0.17;SBS3=0.83","0.847131727294591"
"SBS5+SBS84","SBS5=0.89;SBS84=0.11","0.846301674896895"
"SBS6+SBS37","SBS6=0.43;SBS37=0.57","0.844605976586947"
"SBS5+SBS44","SBS5=0.87;SBS44=0.13","0.843360469994077"
"SBS5+SBS10b","SBS5=0.95;SBS10b=0.05","0.84285346295153"
"SBS5+SBS19","SBS5=0.93;SBS19=0.07","0.841649885357323"
"SBS5+SBS23","SBS5=0.93;SBS23=0.07","0.840593065044039"
"SBS5+SBS57","SBS5=0.91;SBS57=0.09","0.839220838148756"
"SBS5+SBS32","SBS5=0.92;SBS32=0.08","0.837291022268614"
"SBS5+SBS43","SBS5=0.95;SBS43=0.05","0.836141353693589"
"SBS5+SBS25","SBS5=0.87;SBS25=0.13","0.835208614988428"
"SBS5+SBS60","SBS5=0.98;SBS60=0.02","0.835140808163861"
"SBS5+SBS41","SBS5=0.92;SBS41=0.08","0.835010975875144"
"SBS5+SBS9","SBS5=0.91;SBS9=0.09","0.834418335135501"
"SBS5+SBS42","SBS5=0.94;SBS42=0.06","0.834065946856692"
"SBS5+SBS31","SBS5=0.94;SBS31=0.06","0.833975710710748"
"SBS5+SBS17a","SBS5=0.98;SBS17a=0.02","0.83384708910542"
"SBS5+SBS46","SBS5=0.93;SBS46=0.07","0.833660937045632"
"SBS5+SBS7c","SBS5=0.97;SBS7c=0.03","0.833377393924391"
"SBS5+SBS94","SBS5=0.92;SBS94=0.08","0.833235187032416"
"SBS5+SBS28","SBS5=0.98;SBS28=0.02","0.833119340014066"
"SBS5+SBS7b","SBS5=0.97;SBS7b=0.03","0.832930553827632"
"SBS1+SBS92","SBS1=0.2;SBS92=0.8","0.832912880801168"
"SBS5+SBS55","SBS5=0.97;SBS55=0.03","0.83291225592859"
"SBS6+SBS46","SBS6=0.46;SBS46=0.54","0.832611519527316"
"SBS5+SBS93","SBS5=0.94;SBS93=0.06","0.832439717387576"
"SBS5+SBS30","SBS5=0.96;SBS30=0.04","0.832367505407211"
"SBS5+SBS47","SBS5=0.97;SBS47=0.03","0.832022661968056"
"SBS5+SBS20","SBS5=0.97;SBS20=0.03","0.831826786107103"
"SBS5+SBS7d","SBS5=0.98;SBS7d=0.02","0.8317352118036"
"SBS5+SBS90","SBS5=0.99;SBS90=0.01","0.831538011101428"
"SBS5+SBS11","SBS5=0.98;SBS11=0.02","0.831425295016408"
"SBS5+SBS34","SBS5=0.99;SBS34=0.01","0.831349231822318"
"SBS5+SBS39","SBS5=0.95;SBS39=0.05","0.831301010198017"
"SBS5+SBS10c","SBS5=0.97;SBS10c=0.03","0.831283154274295"
"SBS5+SBS51","SBS5=0.98;SBS51=0.02","0.831169666456822"
"SBS5+SBS86","SBS5=0.98;SBS86=0.02","0.831154727808606"
"SBS5+SBS21","SBS5=0.99;SBS21=0.01","0.831022176035974"
